settlingTime,unsettled,overshoot,overshootTime,crossCount,riseTime,Kp,Kd,J
9.4,0,-1.1732107669455232,10.3,2,9.3,0.06820000000000001,0.2,10200.0
9.4,0,-1.1732107669455232,10.3,2,9.3,0.076,0.22,10200.0
9.4,0,-1.1732107669455232,10.3,2,9.3,0.0812,0.24,10200.0
9.4,0,-1.1732107669455232,10.3,2,9.3,0.089,0.26,10200.0
9.4,0,-1.1732107669455232,10.3,2,9.3,0.10200000000000001,0.3,10200.0
9.4,0,-1.1732107669455232,10.3,2,9.3,0.1228,0.36,10200.0
9.4,0,-1.1563590670887365,10.3,2,9.3,0.1436,0.42,10200.0
9.4,0,-1.1563590670887365,10.3,2,9.3,0.15139999999999998,0.43999999999999995,10200.0
9.4,0,-1.1563590670887365,10.3,2,9.3,0.15660000000000002,0.45999999999999996,10200.0
9.4,0,-1.1563590670887365,10.3,2,9.3,0.1644,0.48,10200.0
9.4,0,-1.1563590670887365,10.3,2,9.3,0.1722,0.49999999999999994,10200.0
9.4,0,-1.1563590670887365,10.3,2,9.3,0.1774,0.52,10200.0
9.5,0,-1.1866402754467913,10.4,2,9.4,0.0812,0.24,10400.0
9.5,0,-1.1866402754467913,10.4,2,9.4,0.089,0.26,10400.0
9.5,0,-1.1866402754467913,10.4,2,9.4,0.0942,0.28,10400.0
9.5,0,-1.1866402754467913,10.4,2,9.4,0.10200000000000001,0.3,10400.0
9.5,0,-1.1866402754467913,10.4,2,9.4,0.1072,0.32,10400.0
9.5,0,-1.1866402754467913,10.4,2,9.4,0.1124,0.33999999999999997,10400.0
9.5,0,-1.1866402754467913,10.4,2,9.4,0.1202,0.36,10400.0
9.5,0,-1.1866402754467913,10.4,2,9.4,0.128,0.38,10400.0
9.5,0,-1.1866402754467913,10.4,2,9.4,0.13319999999999999,0.39999999999999997,10400.0
9.5,0,-1.1866402754467913,10.4,2,9.4,0.14100000000000001,0.42,10400.0
9.5,0,-1.1866402754467913,10.4,2,9.4,0.1462,0.43999999999999995,10400.0
9.5,0,-1.1866402754467913,10.4,2,9.4,0.154,0.45999999999999996,10400.0
9.5,0,-1.1866402754467913,10.4,2,9.4,0.1618,0.48,10400.0
9.5,0,-1.1866402754467913,10.4,2,9.4,0.16699999999999998,0.49999999999999994,10400.0
9.5,0,-1.1866402754467913,10.4,2,9.4,0.1748,0.52,10400.0
9.5,0,-1.1866402754467913,10.4,1,9.4,0.18,0.54,10400.0
9.600000000000001,0,-1.1995630100423185,10.5,2,9.5,0.18,0.54,10600.0
9.700000000000001,0,-1.2120071248380455,10.600000000000001,2,9.5,0.18,0.54,10800.0
9.8,0,-1.2239987263684569,10.700000000000001,2,9.600000000000001,0.0656,0.2,11000.0
9.8,0,-1.2239987263684569,10.700000000000001,2,9.600000000000001,0.0708,0.22,11000.0
9.8,0,-1.2239987263684569,10.700000000000001,2,9.600000000000001,0.0786,0.24,11000.0
9.8,0,-1.2239987263684569,10.700000000000001,2,9.600000000000001,0.0916,0.28,11000.0
9.8,0,-1.2239987263684569,10.700000000000001,2,9.600000000000001,0.1046,0.32,11000.0
