settlingTime,unsettled,overshoot,overshootTime,crossCount,riseTime,Kp,Kd,J
9.600000000000001,0,-1.1145533700839891,10.5,1,9.3,0.06820000000000001,0.2,10000.0
9.4,0,-1.1732107669455232,10.3,2,9.3,0.06820000000000001,0.2,10200.0
9.5,0,-1.1866402754467913,10.4,2,9.4,0.0812,0.24,10400.0
9.600000000000001,0,-1.2157787966969593,10.5,2,9.5,0.0656,0.2,10600.0
9.700000000000001,0,-1.2438381134564125,10.600000000000001,2,9.5,0.0656,0.2,10800.0
9.8,0,-1.2239987263684569,10.700000000000001,2,9.600000000000001,0.0656,0.2,11000.0
9.9,0,-1.2048678888193294,10.8,2,9.700000000000001,0.0786,0.24,11200.0
10.0,0,-1.2014861454420753,10.9,2,9.8,0.063,0.2,11400.0
10.100000000000001,0,-1.168585265881319,11.0,2,9.9,0.0838,0.26,11600.0
10.200000000000001,0,-1.151366393978627,11.100000000000001,2,9.9,0.063,0.2,11800.0
10.3,0,-1.1347214844725784,11.200000000000001,2,10.0,0.063,0.2,12000.0
10.4,0,-1.076354931375242,11.3,2,10.100000000000001,0.063,0.2,12200.0
10.5,0,-1.0475949345936257,11.4,2,10.200000000000001,0.06820000000000001,0.22,12400.0
10.5,0,-1.202548773934275,11.4,2,10.200000000000001,0.06820000000000001,0.22,12600.0
10.600000000000001,0,-1.15928704993879,11.5,2,10.3,0.0604,0.2,12800.0
10.700000000000001,0,-1.0776901470188776,11.600000000000001,2,10.4,0.0604,0.2,13000.0
10.700000000000001,0,-1.225144641958721,11.600000000000001,2,10.4,0.0786,0.26,13200.0
10.8,0,-1.157827931673289,11.700000000000001,2,10.5,0.0604,0.2,13400.0
10.9,0,-1.0924911246314508,11.8,2,10.600000000000001,0.0656,0.22,13600.0
11.200000000000001,0,-1.1635686638970029,12.100000000000001,1,10.700000000000001,0.0812,0.28,13800.0
11.3,0,-1.0877389452718873,12.200000000000001,1,10.8,0.063,0.22,14000.0
11.3,0,-1.1762488198774648,12.200000000000001,2,10.9,0.0864,0.3,14200.0
11.4,0,-1.0904127483157495,12.3,1,10.9,0.063,0.22,14400.0
