J,Kp,Kd
12200.0,0.15660000000000002,0.49999999999999994
12200.0,0.1696,0.54
12200.0,0.1748,0.5599999999999999
12400.0,0.06820000000000001,0.22
12400.0,0.0812,0.26
12400.0,0.0864,0.28
12400.0,0.0942,0.3
12400.0,0.0994,0.32
12400.0,0.1046,0.33999999999999997
12400.0,0.10980000000000001,0.36
12400.0,0.1176,0.38
12400.0,0.1228,0.39999999999999997
12400.0,0.128,0.42
12400.0,0.1358,0.43999999999999995
12400.0,0.14100000000000001,0.45999999999999996
12400.0,0.1462,0.48
12400.0,0.154,0.49999999999999994
12400.0,0.1592,0.52
12400.0,0.16699999999999998,0.54
12400.0,0.1722,0.5599999999999999
12400.0,0.1774,0.58
12600.0,0.06820000000000001,0.22
12600.0,0.07339999999999999,0.24
12600.0,0.0812,0.26
12600.0,0.0864,0.28
12600.0,0.0916,0.3
12600.0,0.0994,0.32
12600.0,0.1046,0.33999999999999997
12600.0,0.1176,0.38
12600.0,0.1228,0.39999999999999997
12600.0,0.1358,0.43999999999999995
12600.0,0.154,0.49999999999999994
12600.0,0.16699999999999998,0.54
12600.0,0.1722,0.5599999999999999
12600.0,0.18,0.58
12800.0,0.18,0.58
13000.0,0.1774,0.58
13200.0,0.18,0.5999999999999999
13400.0,0.0604,0.2
13400.0,0.0656,0.22
13400.0,0.0708,0.24
13400.0,0.0786,0.26
13400.0,0.0838,0.28
13400.0,0.089,0.3
13400.0,0.0968,0.32
13400.0,0.10200000000000001,0.33999999999999997
13400.0,0.115,0.38
13400.0,0.1202,0.39999999999999997
13400.0,0.1384,0.45999999999999996
13400.0,0.15660000000000002,0.52
13400.0,0.1696,0.5599999999999999
13400.0,0.1748,0.58
13400.0,0.18,0.5999999999999999
13600.0,0.0656,0.22
13600.0,0.0838,0.28
13600.0,0.0968,0.32
13600.0,0.10200000000000001,0.33999999999999997
13600.0,0.1072,0.36
13600.0,0.1124,0.38
13600.0,0.1202,0.39999999999999997
13600.0,0.1254,0.42
13600.0,0.1306,0.43999999999999995
13600.0,0.1358,0.45999999999999996
13600.0,0.14100000000000001,0.48
13600.0,0.1488,0.49999999999999994
13600.0,0.154,0.52
13600.0,0.1592,0.54
13600.0,0.16699999999999998,0.5599999999999999
13600.0,0.1722,0.58
13600.0,0.1774,0.5999999999999999
13800.0,0.1774,0.5999999999999999
14000.0,0.063,0.22
14000.0,0.06820000000000001,0.24
14000.0,0.076,0.26
14000.0,0.0812,0.28
14000.0,0.0864,0.3
14000.0,0.0916,0.32
14000.0,0.0994,0.33999999999999997
14000.0,0.1046,0.36
14000.0,0.10980000000000001,0.38
14000.0,0.13319999999999999,0.45999999999999996
14000.0,0.15660000000000002,0.54
14000.0,0.1748,0.5999999999999999
14200.0,0.0864,0.3
